INFO 2026-02-10 11:11:16,455 tasks Created article 11: Title: 6985acd80c46e6985acd80c46f17703682166985acd80c46c6985
INFO 2026-02-10 11:11:16,472 tasks Created article 12: Title: 698465e9968dc698465e9968dd1770284521698465e9968da6984
INFO 2026-02-10 11:11:16,487 tasks Created article 13: Title: 6989798fab8926989798fab89317706172316989798fab8906989
INFO 2026-02-10 11:11:16,544 tasks Created article 15: Title: 698213e22b2e4698213e22b2e51770132450698213e22b2e06982
INFO 2026-02-10 11:11:16,562 tasks Created article 16: Title: 698994be7cf98698994be7cf991770624190698994be7cf946989
INFO 2026-02-10 11:11:16,578 tasks Created article 17: Title: 6986e58c488ac6986e58c488ad17704482686986e58c488aa6986
INFO 2026-02-10 11:11:16,593 tasks Scraped Lent.az: 17 new articles from 17 found
INFO 2026-02-10 11:11:16,616 tasks Processing article 1: Title: 698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698a
INFO 2026-02-10 11:12:34,660 embedding_service Loading embedding model: paraphrase-multilingual-MiniLM-L12-v2 �
INFO 2026-02-10 11:14:12,658 embedding_service Embedding model loaded successfully (384 dims)
INFO 2026-02-10 11:14:12,840 tasks Embedding saved for article 1
INFO 2026-02-10 11:14:13,880 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:14,334 tasks Processing article 2: Title: 698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698a
INFO 2026-02-10 11:14:14,384 tasks Embedding saved for article 2
INFO 2026-02-10 11:14:14,398 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:14,499 tasks Processing article 3: Title: 6988cf3ec8a1c6988cf3ec8a1d17705736306988cf3ec8a1a6988
INFO 2026-02-10 11:14:14,565 tasks Embedding saved for article 3
INFO 2026-02-10 11:14:14,584 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:14,678 tasks Processing article 4: Title: 6988d49fdae6f6988d49fdae7017705750076988d49fdae6d6988
INFO 2026-02-10 11:14:14,729 tasks Embedding saved for article 4
INFO 2026-02-10 11:14:14,746 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:14,855 tasks Processing article 5: Title: 6987417d756726987417d7567317704718056987417d7566f6987
INFO 2026-02-10 11:14:14,904 tasks Embedding saved for article 5
INFO 2026-02-10 11:14:14,916 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:15,034 tasks Processing article 6: Title: 6988cfea394dd6988cfea394de17705738026988cfea394cc6988
INFO 2026-02-10 11:14:15,087 tasks Embedding saved for article 6
INFO 2026-02-10 11:14:15,101 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:15,303 tasks Embedding saved for article 7
INFO 2026-02-10 11:14:15,318 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:15,413 tasks Processing article 8: Title: 6989ce9bc23ca6989ce9bc23cb17706390036989ce9bc23c86989
INFO 2026-02-10 11:14:15,459 tasks Embedding saved for article 8
INFO 2026-02-10 11:14:15,485 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:15,570 tasks Processing article 9: Title: 6989de328a0ac6989de328a0ad17706429946989de328a0a86989
INFO 2026-02-10 11:14:15,619 tasks Embedding saved for article 9
INFO 2026-02-10 11:14:15,635 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:15,718 tasks Processing article 10: Title: 69874955d069869874955d0699177047381369874955d06966987
INFO 2026-02-10 11:14:15,766 tasks Embedding saved for article 10
INFO 2026-02-10 11:14:15,783 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:15,871 tasks Processing article 11: Title: 6985acd80c46e6985acd80c46f17703682166985acd80c46c6985
INFO 2026-02-10 11:14:15,920 tasks Embedding saved for article 11
INFO 2026-02-10 11:14:15,945 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:16,039 tasks Processing article 12: Title: 698465e9968dc698465e9968dd1770284521698465e9968da6984
INFO 2026-02-10 11:14:16,096 tasks Embedding saved for article 12
INFO 2026-02-10 11:14:16,115 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:16,202 tasks Processing article 13: Title: 6989798fab8926989798fab89317706172316989798fab8906989
INFO 2026-02-10 11:14:16,248 tasks Embedding saved for article 13
INFO 2026-02-10 11:14:16,264 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:16,460 tasks Embedding saved for article 14
INFO 2026-02-10 11:14:16,476 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:16,572 tasks Processing article 15: Title: 698213e22b2e4698213e22b2e51770132450698213e22b2e06982
INFO 2026-02-10 11:14:16,626 tasks Embedding saved for article 15
INFO 2026-02-10 11:14:16,637 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:16,728 tasks Processing article 16: Title: 698994be7cf98698994be7cf991770624190698994be7cf946989
INFO 2026-02-10 11:14:16,778 tasks Embedding saved for article 16
INFO 2026-02-10 11:14:16,791 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:16,889 tasks Processing article 17: Title: 6986e58c488ac6986e58c488ad17704482686986e58c488aa6986
INFO 2026-02-10 11:14:16,940 tasks Embedding saved for article 17
INFO 2026-02-10 11:14:16,952 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:17,035 tasks Processing article 2: Title: 698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698a
INFO 2026-02-10 11:14:17,080 tasks Embedding saved for article 2
INFO 2026-02-10 11:14:17,094 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:17,188 tasks Processing article 1: Title: 698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698a
INFO 2026-02-10 11:14:17,227 tasks Embedding saved for article 1
INFO 2026-02-10 11:14:17,241 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:17,322 tasks Processing article 16: Title: 698994be7cf98698994be7cf991770624190698994be7cf946989
INFO 2026-02-10 11:14:17,359 tasks Embedding saved for article 16
INFO 2026-02-10 11:14:17,374 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:17,461 tasks Processing article 13: Title: 6989798fab8926989798fab89317706172316989798fab8906989
INFO 2026-02-10 11:14:17,504 tasks Embedding saved for article 13
INFO 2026-02-10 11:14:17,513 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:17,595 tasks Processing article 9: Title: 6989de328a0ac6989de328a0ad17706429946989de328a0a86989
INFO 2026-02-10 11:14:17,637 tasks Embedding saved for article 9
INFO 2026-02-10 11:14:17,646 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:17,727 tasks Processing article 8: Title: 6989ce9bc23ca6989ce9bc23cb17706390036989ce9bc23c86989
INFO 2026-02-10 11:14:17,765 tasks Embedding saved for article 8
INFO 2026-02-10 11:14:17,774 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:17,862 tasks Processing article 6: Title: 6988cfea394dd6988cfea394de17705738026988cfea394cc6988
INFO 2026-02-10 11:14:17,906 tasks Embedding saved for article 6
INFO 2026-02-10 11:14:17,917 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:18,002 tasks Processing article 4: Title: 6988d49fdae6f6988d49fdae7017705750076988d49fdae6d6988
INFO 2026-02-10 11:14:18,039 tasks Embedding saved for article 4
INFO 2026-02-10 11:14:18,049 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:18,131 tasks Processing article 3: Title: 6988cf3ec8a1c6988cf3ec8a1d17705736306988cf3ec8a1a6988
INFO 2026-02-10 11:14:18,171 tasks Embedding saved for article 3
INFO 2026-02-10 11:14:18,179 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:18,264 tasks Processing article 17: Title: 6986e58c488ac6986e58c488ad17704482686986e58c488aa6986
INFO 2026-02-10 11:14:18,304 tasks Embedding saved for article 17
INFO 2026-02-10 11:14:18,314 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:18,406 tasks Processing article 10: Title: 69874955d069869874955d0699177047381369874955d06966987
INFO 2026-02-10 11:14:18,445 tasks Embedding saved for article 10
INFO 2026-02-10 11:14:18,470 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:18,552 tasks Processing article 5: Title: 6987417d756726987417d7567317704718056987417d7566f6987
INFO 2026-02-10 11:14:18,590 tasks Embedding saved for article 5
INFO 2026-02-10 11:14:18,601 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:18,687 tasks Processing article 11: Title: 6985acd80c46e6985acd80c46f17703682166985acd80c46c6985
INFO 2026-02-10 11:14:18,728 tasks Embedding saved for article 11
INFO 2026-02-10 11:14:18,738 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:18,827 tasks Processing article 12: Title: 698465e9968dc698465e9968dd1770284521698465e9968da6984
INFO 2026-02-10 11:14:18,865 tasks Embedding saved for article 12
INFO 2026-02-10 11:14:18,890 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:18,976 tasks Processing article 15: Title: 698213e22b2e4698213e22b2e51770132450698213e22b2e06982
INFO 2026-02-10 11:14:19,056 tasks Embedding saved for article 15
INFO 2026-02-10 11:14:19,065 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:19,321 tasks Embedding saved for article 14
INFO 2026-02-10 11:14:19,333 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:19,595 tasks Embedding saved for article 7
INFO 2026-02-10 11:14:19,606 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:19,698 tasks Processing article 2: Title: 698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698a
INFO 2026-02-10 11:14:19,805 tasks Embedding saved for article 2
INFO 2026-02-10 11:14:19,818 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:19,909 tasks Processing article 1: Title: 698ac4120f2d9698ac4120f2da1770701842698ac4120f2d7698a
INFO 2026-02-10 11:14:20,002 tasks Embedding saved for article 1
INFO 2026-02-10 11:14:20,015 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:20,104 tasks Processing article 16: Title: 698994be7cf98698994be7cf991770624190698994be7cf946989
INFO 2026-02-10 11:14:20,208 tasks Embedding saved for article 16
INFO 2026-02-10 11:14:20,230 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:20,318 tasks Processing article 13: Title: 6989798fab8926989798fab89317706172316989798fab8906989
INFO 2026-02-10 11:14:20,424 tasks Embedding saved for article 13
INFO 2026-02-10 11:14:20,434 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:20,521 tasks Processing article 9: Title: 6989de328a0ac6989de328a0ad17706429946989de328a0a86989
INFO 2026-02-10 11:14:20,621 tasks Embedding saved for article 9
INFO 2026-02-10 11:14:20,631 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:20,717 tasks Processing article 8: Title: 6989ce9bc23ca6989ce9bc23cb17706390036989ce9bc23c86989
INFO 2026-02-10 11:14:20,808 tasks Embedding saved for article 8
INFO 2026-02-10 11:14:20,819 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:20,908 tasks Processing article 6: Title: 6988cfea394dd6988cfea394de17705738026988cfea394cc6988
INFO 2026-02-10 11:14:20,996 tasks Embedding saved for article 6
INFO 2026-02-10 11:14:21,006 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:21,092 tasks Processing article 4: Title: 6988d49fdae6f6988d49fdae7017705750076988d49fdae6d6988
INFO 2026-02-10 11:14:21,186 tasks Embedding saved for article 4
INFO 2026-02-10 11:14:21,198 elasticsearch_service Connected to ElasticSearch at http://localhost:9200
INFO 2026-02-10 11:14:21,291 tasks Processing article 3: Title: 6988cf3ec8a1c6988cf3ec8a1d17705736306988cf3ec8a1a6988
INFO 2026-02-10 11:14:21,386 tasks Embedding saved for article 3
